"rho" "threshold" "accuracy"
-1 0.5 0
-0.9 0.5 0
-0.8 0.5 0
-0.7 0.5 0
-0.6 0.5 0
-0.5 0.5 0
-0.4 0.5 0
-0.3 0.5 0.75
-0.2 0.5 0.597427106595791
-0.1 0.5 0.587401285583104
0 0.5 0.538374717832957
0.1 0.5 0.525837459947568
0.2 0.5 0.518991240076649
0.3 0.5 0.516835850458034
0.4 0.5 0.517878911011784
0.5 0.5 0.512779552715655
0.6 0.5 0.518229166666667
0.7 0.5 0.458762886597938
0.8 0.5 0.442622950819672
0.9 0.5 0.423076923076923
-1 0.55 0
-0.9 0.55 0
-0.8 0.55 0
-0.7 0.55 0
-0.6 0.55 0
-0.5 0.55 0
-0.4 0.55 0
-0.3 0.55 0.833333333333333
-0.2 0.55 0.751412763691234
-0.1 0.55 0.742977279954772
0 0.55 0.650055370985604
0.1 0.55 0.579157480784127
0.2 0.55 0.569366591928251
0.3 0.55 0.55190063042257
0.4 0.55 0.528964667214462
0.5 0.55 0.554581673306773
0.6 0.55 0.540342298288509
0.7 0.55 0.508379888268156
0.8 0.55 0.426470588235294
0.9 0.55 0.533333333333333
-1 0.6 0
-0.9 0.6 0
-0.8 0.6 0
-0.7 0.6 0
-0.6 0.6 0
-0.5 0.6 0
-0.4 0.6 0
-0.3 0.6 0
-0.2 0.6 0.862345008712341
-0.1 0.6 0.849847188264059
0 0.6 0.75487512829285
0.1 0.6 0.633230878354415
0.2 0.6 0.613462084635047
0.3 0.6 0.58999677315263
0.4 0.6 0.58433734939759
0.5 0.6 0.576859504132231
0.6 0.6 0.56282722513089
0.7 0.6 0.539325842696629
0.8 0.6 0.5
0.9 0.6 0.375
-1 0.65 0
-0.9 0.65 0
-0.8 0.65 0
-0.7 0.65 0
-0.6 0.65 0
-0.5 0.65 0
-0.4 0.65 0
-0.3 0.65 1
-0.2 0.65 0.940512564694145
-0.1 0.65 0.923574009057141
0 0.65 0.801686340640809
0.1 0.65 0.678353658536585
0.2 0.65 0.644983620720688
0.3 0.65 0.616566027828827
0.4 0.65 0.593469910371319
0.5 0.65 0.59330985915493
0.6 0.65 0.571072319201995
0.7 0.65 0.538922155688623
0.8 0.65 0.616666666666667
0.9 0.65 0.647058823529412
-1 0.7 0
-0.9 0.7 0
-0.8 0.7 0
-0.7 0.7 0
-0.6 0.7 0
-0.5 0.7 0
-0.4 0.7 0
-0.3 0.7 1
-0.2 0.7 0.977246617856347
-0.1 0.7 0.962450941482559
0 0.7 0.860342146189736
0.1 0.7 0.732376947811031
0.2 0.7 0.683017753663308
0.3 0.7 0.640326057666397
0.4 0.7 0.620433305012744
0.5 0.7 0.6
0.6 0.7 0.602702702702703
0.7 0.7 0.523255813953488
0.8 0.7 0.560606060606061
0.9 0.7 0.526315789473684
-1 0.75 0
-0.9 0.75 0
-0.8 0.75 0
-0.7 0.75 0
-0.6 0.75 0
-0.5 0.75 0
-0.4 0.75 0
-0.3 0.75 1
-0.2 0.75 0.993250686784454
-0.1 0.75 0.98100920293246
0 0.75 0.90113550340651
0.1 0.75 0.771760756030838
0.2 0.75 0.724734504730643
0.3 0.75 0.667248847282381
0.4 0.75 0.655495978552279
0.5 0.75 0.626229508196721
0.6 0.75 0.641975308641975
0.7 0.75 0.620689655172414
0.8 0.75 0.544117647058824
0.9 0.75 0.5
-1 0.8 0
-0.9 0.8 0
-0.8 0.8 0
-0.7 0.8 0
-0.6 0.8 0
-0.5 0.8 0
-0.4 0.8 0
-0.3 0.8 1
-0.2 0.8 0.99803909701628
-0.1 0.8 0.991429725505348
0 0.8 0.931501230516817
0.1 0.8 0.805260872262547
0.2 0.8 0.751530789078446
0.3 0.8 0.701296808975667
0.4 0.8 0.651853506029477
0.5 0.8 0.629563668744435
0.6 0.8 0.62402088772846
0.7 0.8 0.58125
0.8 0.8 0.689655172413793
0.9 0.8 0.619047619047619
-1 0.85 0
-0.9 0.85 0
-0.8 0.85 0
-0.7 0.85 0
-0.6 0.85 0
-0.5 0.85 0
-0.4 0.85 0
-0.3 0.85 1
-0.2 0.85 0.999359890754689
-0.1 0.85 0.99565694726985
0 0.85 0.952418820410868
0.1 0.85 0.842868237121408
0.2 0.85 0.791217760365655
0.3 0.85 0.724287393476344
0.4 0.85 0.67566265060241
0.5 0.85 0.664952870608398
0.6 0.85 0.665714285714286
0.7 0.85 0.561728395061728
0.8 0.85 0.578125
0.9 0.85 0.5
-1 0.9 0
-0.9 0.9 0
-0.8 0.9 0
-0.7 0.9 0
-0.6 0.9 0
-0.5 0.9 0
-0.4 0.9 0
-0.3 0.9 1
-0.2 0.9 0.999950481321555
-0.1 0.9 0.997822442937039
0 0.9 0.966015625
0.1 0.9 0.874959211642629
0.2 0.9 0.825577474287641
0.3 0.9 0.745626045945535
0.4 0.9 0.720462543991956
0.5 0.9 0.674398625429553
0.6 0.9 0.695417789757412
0.7 0.9 0.610062893081761
0.8 0.9 0.604166666666667
0.9 0.9 0.5
-1 0.95 0
-0.9 0.95 0
-0.8 0.95 0
-0.7 0.95 0
-0.6 0.95 0
-0.5 0.95 0
-0.4 0.95 0
-0.3 0.95 1
-0.2 0.95 0.999976822074656
-0.1 0.95 0.999557482037952
0 0.95 0.988745369930668
0.1 0.95 0.952145704350776
0.2 0.95 0.923974124792033
0.3 0.95 0.874056110318592
0.4 0.95 0.84142567224759
0.5 0.95 0.833333333333333
0.6 0.95 0.829590948651001
0.7 0.95 0.796044098573282
0.8 0.95 0.791259344450834
0.9 0.95 0.765206812652068
